Country,Coffee type,Year,Production,Continent,Year_clean
Costa Rica,Arabica,1993/94,141540000.0,Central America,1993
Ivory Coast,Robusta,1993/94,137580000.0,Africa,1993
Congo,Robusta/Arabica,1993/94,58800000.0,Africa,1993
El Salvador,Arabica,1993/94,142680000.0,Central America,1993
Equatorial Guinea,Robusta,1993/94,0.0,Africa,1993
Ethiopia,Arabica,1993/94,178020000.0,Africa,1993
Gabon,Robusta,1993/94,180000.0,Africa,1993
Ghana,Robusta,1993/94,2700000.0,Africa,1993
Guatemala,Arabica/Robusta,1993/94,212160000.0,Central America,1993
Guinea,Robusta,1993/94,3840000.0,Africa,1993
Guyana,Robusta,1993/94,0.0,South America,1993
Honduras,Arabica,1993/94,109740000.0,Central America,1993
India,Robusta/Arabica,1993/94,211980000.0,Asia,1993
Jamaica,Arabica,1993/94,2040000.0,Central America,1993
Kenya,Arabica,1993/94,79680000.0,Africa,1993
Laos,Robusta,1993/94,0.0,Asia,1993
Liberia,Robusta,1993/94,300000.0,Africa,1993
Mexico,Arabica/Robusta,1993/94,301380000.0,North America,1993
Nepal,Arabica,1993/94,0.0,Asia,1993
Nicaragua,Arabica,1993/94,42360000.0,Central America,1993
Nigeria,Robusta,1993/94,2700000.0,Africa,1993
Panama,Arabica,1993/94,8520000.0,Central America,1993
Sierra Leone,Robusta,1993/94,2220000.0,Africa,1993
Sri Lanka,Robusta/Arabica,1993/94,3240000.0,Asia,1993
Thailand,Robusta/Arabica,1993/94,76500000.0,Asia,1993
Togo,Robusta,1993/94,11700000.0,Africa,1993
Trinidad and Tobago,Robusta,1993/94,960000.0,Central America,1993
Uganda,Robusta/Arabica,1993/94,188520000.0,Africa,1993
Venezuela,Arabica,1993/94,79980000.0,South America,1993
Vietnam,Robusta/Arabica,1993/94,181200000.0,Asia,1993
Yemen,Arabica,1993/94,0.0,Asia,1993
Angola,Robusta/Arabica,1994/95,4620000.0,Africa,1994
Bolivia,Arabica,1994/95,7020000.0,South America,1994
Brazil,Arabica/Robusta,1994/95,1691520000.0,South America,1994
Burundi,Arabica/Robusta,1994/95,39840000.0,Africa,1994
Ecuador,Arabica/Robusta,1994/95,142560000.0,South America,1994
Indonesia,Robusta/Arabica,1994/95,322080000.0,Asia,1994
Madagascar,Robusta,1994/95,38460000.0,Africa,1994
Malawi,Arabica,1994/95,5040000.0,Africa,1994
Papua New Guinea,Arabica/Robusta,1994/95,68340000.0,Oceania,1994
Paraguay,Arabica,1994/95,1500000.0,South America,1994
Peru,Arabica,1994/95,70740000.0,South America,1994
Rwanda,Arabica,1994/95,1320000.0,Africa,1994
East Timor,Arabica,1994/95,0.0,Asia,1994
Zimbabwe,Arabica,1994/95,6360000.0,Africa,1994
Congo,Robusta,1994/95,480000.0,Africa,1994
Cuba,Arabica,1994/95,17040000.0,Central America,1994
Dominican Republic,Arabica/Robusta,1994/95,43800000.0,Central America,1994
Haiti,Arabica,1994/95,27000000.0,Central America,1994
Philippines,Robusta/Arabica,1994/95,52620000.0,Asia,1994
Tanzania,Arabica/Robusta,1994/95,40740000.0,Africa,1994
Zambia,Arabica,1994/95,1260000.0,Africa,1994
Cameroon,Robusta/Arabica,1994/95,24360000.0,Africa,1994
Central African Republic,Robusta,1994/95,15000000.0,Africa,1994
Colombia,Arabica,1994/95,777840000.0,South America,1994
Costa Rica,Arabica,1994/95,148920000.0,Central America,1994
Ivory Coast,Robusta,1994/95,180360000.0,Africa,1994
Congo,Robusta/Arabica,1994/95,77880000.0,Africa,1994
El Salvador,Arabica,1994/95,137580000.0,Central America,1994
Equatorial Guinea,Robusta,1994/95,180000.0,Africa,1994
Ethiopia,Arabica,1994/95,165780000.0,Africa,1994
Gabon,Robusta,1994/95,480000.0,Africa,1994
Ghana,Robusta,1994/95,3420000.0,Africa,1994
Guatemala,Arabica/Robusta,1994/95,227220000.0,Central America,1994
Guinea,Robusta,1994/95,11880000.0,Africa,1994
Guyana,Robusta,1994/95,0.0,South America,1994
