Country,Coffee type,Year,Consumed,Continent,Year_clean
Equatorial Guinea,Robusta,1994/95,0,Africa,1994
Ethiopia,Arabica,1994/95,88560000,Africa,1994
Gabon,Robusta,1994/95,60000,Africa,1994
Ghana,Robusta,1994/95,1680000,Africa,1994
Guatemala,Arabica/Robusta,1994/95,18600000,Central America,1994
Guinea,Robusta,1994/95,3000000,Africa,1994
Guyana,Robusta,1994/95,0,South America,1994
Honduras,Arabica,1994/95,15180000,Central America,1994
India,Robusta/Arabica,1994/95,50100000,Asia,1994
Jamaica,Arabica,1994/95,900000,Central America,1994
Kenya,Arabica,1994/95,3000000,Africa,1994
Laos,Robusta,1994/95,0,Asia,1994
Liberia,Robusta,1994/95,300000,Africa,1994
Mexico,Arabica/Robusta,1994/95,61200000,North America,1994
Nepal,Arabica,1994/95,0,Asia,1994
Nicaragua,Arabica,1994/95,5376000,Central America,1994
Nigeria,Robusta,1994/95,2400000,Africa,1994
Panama,Arabica,1994/95,4600020,Central America,1994
Sierra Leone,Robusta,1994/95,300000,Africa,1994
Sri Lanka,Robusta/Arabica,1994/95,1200000,Asia,1994
Thailand,Robusta/Arabica,1994/95,16980000,Asia,1994
Togo,Robusta,1994/95,60000,Africa,1994
Trinidad and Tobago,Robusta,1994/95,840000,Central America,1994
Uganda,Robusta/Arabica,1994/95,4800000,Africa,1994
Venezuela,Arabica,1994/95,55404000,South America,1994
Vietnam,Robusta/Arabica,1994/95,16020000,Asia,1994
Yemen,Arabica,1994/95,0,Asia,1994
Angola,Robusta/Arabica,1995/96,600000,Africa,1995
Bolivia,Arabica,1995/96,1830000,South America,1995
Brazil,Arabica/Robusta,1995/96,606000000,South America,1995
Burundi,Arabica/Robusta,1995/96,120000,Africa,1995
Ecuador,Arabica/Robusta,1995/96,21000000,South America,1995
Indonesia,Robusta/Arabica,1995/96,86580000,Asia,1995
Madagascar,Robusta,1995/96,10020000,Africa,1995
Malawi,Arabica,1995/96,120000,Africa,1995
Papua New Guinea,Arabica/Robusta,1995/96,120000,Oceania,1995
Paraguay,Arabica,1995/96,1200000,South America,1995
Peru,Arabica,1995/96,12000000,South America,1995
Rwanda,Arabica,1995/96,60000,Africa,1995
East Timor,Arabica,1995/96,0,Asia,1995
Zimbabwe,Arabica,1995/96,396000,Africa,1995
Congo,Robusta,1995/96,180000,Africa,1995
Cuba,Arabica,1995/96,11640000,Central America,1995
Dominican Republic,Arabica/Robusta,1995/96,21000000,Central America,1995
Haiti,Arabica,1995/96,19800000,Central America,1995
Philippines,Robusta/Arabica,1995/96,48600000,Asia,1995
Tanzania,Arabica/Robusta,1995/96,816000,Africa,1995
Zambia,Arabica,1995/96,36000,Africa,1995
Cameroon,Robusta/Arabica,1995/96,6000000,Africa,1995
Central African Republic,Robusta,1995/96,600000,Africa,1995
Colombia,Arabica,1995/96,81540000,South America,1995
Costa Rica,Arabica,1995/96,22500000,Central America,1995
Ivory Coast,Robusta,1995/96,3000000,Africa,1995
Congo,Robusta/Arabica,1995/96,12000000,Africa,1995
El Salvador,Arabica,1995/96,16200000,Central America,1995
Equatorial Guinea,Robusta,1995/96,0,Africa,1995
Ethiopia,Arabica,1995/96,93300000,Africa,1995
Gabon,Robusta,1995/96,48000,Africa,1995
Ghana,Robusta,1995/96,1680000,Africa,1995
Guatemala,Arabica/Robusta,1995/96,18600000,Central America,1995
Guinea,Robusta,1995/96,3000000,Africa,1995
Guyana,Robusta,1995/96,0,South America,1995
Honduras,Arabica,1995/96,9660000,Central America,1995
India,Robusta/Arabica,1995/96,50220000,Asia,1995
Jamaica,Arabica,1995/96,900000,Central America,1995
Kenya,Arabica,1995/96,3000000,Africa,1995
Laos,Robusta,1995/96,0,Asia,1995
Liberia,Robusta,1995/96,300000,Africa,1995
Mexico,Arabica/Robusta,1995/96,70740000,North America,1995
Nepal,Arabica,1995/96,0,Asia,1995
Nicaragua,Arabica,1995/96,6690000,Central America,1995
Nigeria,Robusta,1995/96,2400000,Africa,1995
Panama,Arabica,1995/96,4600020,Central America,1995
Sierra Leone,Robusta,1995/96,480000,Africa,1995
Sri Lanka,Robusta/Arabica,1995/96,1200000,Asia,1995
Thailand,Robusta/Arabica,1995/96,25020000,Asia,1995
Togo,Robusta,1995/96,60000,Africa,1995
Trinidad and Tobago,Robusta,1995/96,840000,Central America,1995
Uganda,Robusta/Arabica,1995/96,4800000,Africa,1995
Venezuela,Arabica,1995/96,57747600,South America,1995
Vietnam,Robusta/Arabica,1995/96,16910700,Asia,1995
Yemen,Arabica,1995/96,0,Asia,1995
Angola,Robusta/Arabica,1996/97,1200000,Africa,1996
Bolivia,Arabica,1996/97,1890000,South America,1996
Brazil,Arabica/Robusta,1996/97,660000000,South America,1996
Burundi,Arabica/Robusta,1996/97,120000,Africa,1996
Ecuador,Arabica/Robusta,1996/97,18000000,South America,1996
Indonesia,Robusta/Arabica,1996/97,89160000,Asia,1996
Madagascar,Robusta,1996/97,10020000,Africa,1996
Malawi,Arabica,1996/97,120000,Africa,1996
Papua New Guinea,Arabica/Robusta,1996/97,120000,Oceania,1996
Paraguay,Arabica,1996/97,1200000,South America,1996
Peru,Arabica,1996/97,12000000,South America,1996
Rwanda,Arabica,1996/97,60000,Africa,1996
East Timor,Arabica,1996/97,0,Asia,1996
Zimbabwe,Arabica,1996/97,240000,Africa,1996
Congo,Robusta,1996/97,180000,Africa,1996
